Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
90.00 - 100.00,"2,234,125,900",4.78%,28,5.35%,,,,,,,,,,,
80.00 - 90.00,"2,112,232,100",4.52%,34,6.50%,,,,,,,,,,,
70.00 - 80.00,"845,912,000",1.81%,13,2.49%,,,,,,,,,,,
60.00 - 70.00,"4,679,864,500",10.01%,46,8.80%,,,,,,,,,,,
50.00 - 60.00,"3,864,788,600",8.26%,55,10.52%,,,,,,,,,,,
40.00 - 50.00,"8,583,623,500",18.35%,112,21.41%,,,,,,,,,,,
30.00 - 40.00,"5,754,243,100",12.30%,78,14.91%,,,,,,,,,,,
20.00 - 30.00,"4,715,787,200",10.08%,142,27.15%,,,,,,,,,,,
10.00 - 20.00,"3,545,773,100",7.58%,6,1.15%,,,,,,,,,,,
0.00 - 10.00,"10,428,463,800",22.30%,9,1.72%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
EA.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,105.50,17-ธ.ค.-2021,Max,"1,547,347,800",23-ส.ค.-2024,Advancing,"22,349,119,700",Up,240,Up,+78.07%,23-ส.ค.-2024,Max,"34,649,132,725.00",08-ม.ค.-2021
Low,3.10,02-ส.ค.-2024,Min,"2,498,000",17-เม.ย.-2015,Declining,"23,479,165,400",Down,253,Down,-61.45%,19-ก.ค.-2024,Min,"59,272,120.00",15-เม.ย.-2016
Avg,46.08,,Avg,"89,416,470",,Total,"46,764,813,800",Unch,29,Period,-70.42%,10 Years,Avg,"3,439,734,335.95",
,,,,,,,,,,,,,,,
18-ส.ค.-2023,57.25,-1.50,-2.55%,59.25,56.25,59.75,"49,047,800","2,828,865,250.00","159,676,057,345.00",,,,,,
11-ส.ค.-2023,58.75,+0.25,+0.43%,58.50,56.75,59.50,"59,013,400","3,423,512,350.00","162,504,922,595.00",,,,,,
04-ส.ค.-2023,58.50,-1.25,-2.09%,61.50,58.25,62.25,"67,750,200","4,101,274,575.00","159,081,410,245.00",,,,,,
28-ก.ค.-2023,59.75,+3.00,+5.29%,57.00,54.25,60.00,"58,413,400","3,333,096,025.00","163,182,684,820.00",,,,,,
21-ก.ค.-2023,56.75,+0.50,+0.89%,56.50,55.50,58.25,"61,840,800","3,500,272,450.00","159,849,588,795.00",,,,,,
14-ก.ค.-2023,56.25,+2.25,+4.17%,54.25,52.50,56.50,"49,328,500","2,688,559,625.00","156,349,316,345.00",,,,,,
07-ก.ค.-2023,54.00,-3.00,-5.26%,56.75,53.00,57.25,"41,864,500","2,310,400,125.00","153,660,756,720.00",,,,,,
30-มิ.ย.-2023,57.00,-1.00,-1.72%,57.75,51.50,58.00,"93,709,300","5,088,934,050.00","155,971,156,845.00",,,,,,
23-มิ.ย.-2023,58.00,-4.00,-6.45%,61.75,56.25,62.75,"56,950,400","3,358,508,200.00","161,060,090,895.00",,,,,,
16-มิ.ย.-2023,62.00,-2.00,-3.13%,63.75,61.50,64.75,"36,001,400","2,271,305,550.00","164,418,599,095.00",,,,,,
09-มิ.ย.-2023,64.00,+2.75,+4.49%,61.75,60.00,65.50,"48,809,900","3,080,511,500.00","166,689,904,645.00",,,,,,
02-มิ.ย.-2023,61.25,-4.25,-6.49%,65.50,60.75,66.25,"56,255,400","3,559,488,350.00","163,609,393,145.00",,,,,,
26-พ.ค.-2023,65.50,+1.00,+1.55%,64.25,63.25,66.50,"41,326,700","2,707,884,750.00","167,168,881,495.00",,,,,,
19-พ.ค.-2023,64.50,-3.00,-4.44%,69.25,64.25,69.50,"46,977,800","3,120,039,700.00","164,460,996,745.00",,,,,,
12-พ.ค.-2023,67.50,+1.25,+1.89%,67.00,66.50,69.00,"37,649,400","2,554,825,775.00","167,581,036,445.00",,,,,,
05-พ.ค.-2023,66.25,-1.50,-2.21%,68.00,64.25,69.00,"26,536,900","1,753,290,850.00","165,026,210,670.00",,,,,,
28-เม.ย.-2023,67.75,-3.25,-4.58%,70.75,67.50,71.50,"39,042,800","2,705,600,650.00","166,779,501,520.00",,,,,,
21-เม.ย.-2023,71.00,-6.00,-7.79%,77.75,70.00,79.50,"88,683,000","6,534,385,400.00","169,485,102,170.00",,,,,,
14-เม.ย.-2023,77.00,+1.50,+1.99%,75.25,73.00,77.75,"21,273,400","1,610,681,025.00","176,019,487,570.00",,,,,,
07-เม.ย.-2023,75.50,-0.50,-0.66%,76.25,75.00,77.50,"18,884,300","1,435,083,600.00","174,408,806,545.00",,,,,,
31-มี.ค.-2023,76.00,+0.25,+0.33%,76.00,74.50,76.75,"24,349,000","1,842,269,850.00","175,843,890,145.00",,,,,,
24-มี.ค.-2023,75.75,+2.75,+3.77%,72.75,72.00,76.75,"40,564,800","3,026,962,050.00","174,001,620,295.00",,,,,,
17-มี.ค.-2023,73.00,-3.50,-4.58%,76.50,71.75,77.25,"66,081,400","4,889,788,375.00","170,974,658,245.00",,,,,,
10-มี.ค.-2023,76.50,+2.50,+3.38%,74.50,74.50,77.75,"39,140,900","2,987,143,225.00","175,864,446,620.00",,,,,,
03-มี.ค.-2023,74.00,-3.00,-3.90%,78.00,73.75,79.00,"72,207,900","5,540,998,525.00","172,877,303,395.00",,,,,,
24-ก.พ.-2023,77.00,-6.75,-8.06%,84.00,76.75,84.00,"122,042,700","9,712,276,925.00","178,418,301,920.00",,,,,,
17-ก.พ.-2023,83.75,-4.00,-4.56%,87.25,82.75,88.00,"46,840,500","3,986,164,575.00","188,130,578,845.00",,,,,,
10-ก.พ.-2023,87.75,-1.75,-1.96%,89.50,87.25,91.25,"60,614,600","5,423,875,975.00","192,116,743,420.00",,,,,,
03-ก.พ.-2023,89.50,+3.75,+4.37%,86.75,86.00,90.25,"66,863,800","5,887,940,550.00","197,540,619,395.00",,,,,,
27-ม.ค.-2023,85.75,-3.50,-3.92%,89.50,85.25,89.50,"55,792,500","4,869,170,400.00","191,652,678,845.00",,,,,,
20-ม.ค.-2023,89.25,-0.25,-0.28%,89.25,87.75,90.50,"51,091,600","4,560,254,900.00","196,521,849,245.00",,,,,,
13-ม.ค.-2023,89.50,-2.75,-2.98%,93.25,89.00,93.25,"63,722,600","5,783,100,525.00","201,082,104,145.00",,,,,,
06-ม.ค.-2023,92.25,-4.75,-4.90%,97.25,92.25,97.50,"33,195,000","3,118,986,425.00","206,865,204,670.00",,,,,,
30-ธ.ค.-2022,97.00,+3.25,+3.47%,94.00,93.50,98.50,"29,189,600","2,809,203,750.00","209,984,191,095.00",,,,,,
23-ธ.ค.-2022,93.75,-2.50,-2.60%,96.50,92.50,97.00,"23,286,400","2,212,702,725.00","207,174,987,345.00",,,,,,
16-ธ.ค.-2022,96.25,-0.75,-0.77%,97.50,94.00,98.00,"28,691,900","2,746,007,550.00","209,387,690,070.00",,,,,,
09-ธ.ค.-2022,97.00,0.00,0.00%,97.00,95.75,98.25,"20,222,200","1,966,085,450.00","212,133,697,620.00",,,,,,
02-ธ.ค.-2022,97.00,+2.00,+2.11%,94.75,94.00,97.75,"39,130,900","3,763,801,650.00","210,167,612,170.00",,,,,,
25-พ.ย.-2022,95.00,+1.00,+1.06%,93.50,93.50,97.00,"28,080,300","2,671,257,225.00","206,403,810,520.00",,,,,,
18-พ.ย.-2022,94.00,-4.50,-4.57%,97.25,93.00,99.50,"57,901,200","5,563,879,725.00","203,732,553,295.00",,,,,,
11-พ.ย.-2022,98.50,+1.25,+1.29%,97.75,96.25,98.75,"46,493,500","4,541,743,600.00","209,296,433,020.00",,,,,,
04-พ.ย.-2022,97.25,-0.50,-0.51%,99.00,96.25,99.75,"48,655,400","4,753,626,650.00","204,754,689,420.00",,,,,,
28-ต.ค.-2022,97.75,+2.25,+2.36%,94.00,94.00,98.00,"57,404,300","5,543,013,150.00","209,508,316,070.00",,,,,,
21-ต.ค.-2022,95.50,+6.50,+7.30%,89.25,89.00,95.50,"122,699,400","11,439,947,775.00","203,965,302,920.00",,,,,,
14-ต.ค.-2022,89.00,+1.00,+1.14%,87.50,87.25,89.25,"20,139,100","1,779,070,375.00","192,525,355,145.00",,,,,,
07-ต.ค.-2022,88.00,-0.25,-0.28%,88.00,85.75,89.00,"43,311,900","3,773,623,675.00","190,746,284,770.00",,,,,,
30-ก.ย.-2022,88.25,-1.25,-1.40%,89.00,87.75,90.75,"53,028,200","4,714,561,375.00","194,519,908,445.00",,,,,,
23-ก.ย.-2022,89.50,+1.50,+1.70%,88.25,87.50,92.00,"70,688,800","6,369,067,525.00","199,234,469,820.00",,,,,,
16-ก.ย.-2022,88.00,+1.00,+1.15%,87.75,87.25,91.25,"80,803,400","7,224,623,425.00","192,865,402,295.00",,,,,,
09-ก.ย.-2022,87.00,+3.00,+3.57%,83.75,82.25,89.50,"83,068,000","7,158,409,175.00","185,640,778,870.00",,,,,,
02-ก.ย.-2022,84.00,+1.00,+1.20%,82.00,81.25,85.50,"51,375,000","4,298,520,300.00","178,482,369,695.00",,,,,,
26-ส.ค.-2022,83.00,-0.25,-0.30%,82.75,80.00,83.50,"37,394,000","3,064,464,775.00","174,183,849,395.00",,,,,,
19-ส.ค.-2022,83.25,-2.50,-2.92%,85.25,82.00,87.00,"41,021,300","3,446,697,875.00","177,248,314,170.00",,,,,,
12-ส.ค.-2022,85.75,+3.75,+4.57%,82.50,82.00,86.00,"32,760,100","2,768,012,425.00","180,695,012,045.00",,,,,,
05-ส.ค.-2022,82.00,+0.75,+0.92%,82.00,81.75,83.75,"36,325,500","3,009,174,200.00","177,926,999,620.00",,,,,,
29-ก.ค.-2022,81.25,+1.50,+1.88%,79.75,79.50,82.75,"21,056,600","1,710,044,750.00","174,917,825,420.00",,,,,,
22-ก.ค.-2022,79.75,-0.50,-0.62%,80.75,78.00,80.75,"26,362,000","2,091,923,500.00","173,207,780,670.00",,,,,,
15-ก.ค.-2022,80.25,+2.00,+2.56%,78.00,77.50,81.25,"46,461,600","3,696,714,250.00","175,299,704,170.00",,,,,,
08-ก.ค.-2022,78.25,-3.75,-4.57%,81.50,76.50,82.50,"54,654,000","4,303,988,825.00","171,602,989,920.00",,,,,,
01-ก.ค.-2022,82.00,-1.00,-1.20%,83.75,80.00,84.50,"65,758,400","5,391,409,500.00","175,906,978,745.00",,,,,,
24-มิ.ย.-2022,83.00,+0.25,+0.30%,83.00,82.00,85.00,"46,819,800","3,898,474,050.00","181,298,388,245.00",,,,,,
17-มิ.ย.-2022,82.75,-5.50,-6.23%,87.25,81.50,88.25,"70,137,700","5,906,645,025.00","177,399,914,195.00",,,,,,
10-มิ.ย.-2022,88.25,-1.00,-1.12%,89.75,87.00,90.25,"39,728,100","3,524,250,975.00","183,306,559,220.00",,,,,,
03-มิ.ย.-2022,89.25,+0.50,+0.56%,89.50,88.75,90.75,"48,523,900","4,356,921,575.00","186,830,810,195.00",,,,,,
27-พ.ค.-2022,88.75,+3.00,+3.50%,86.00,86.00,91.00,"47,694,700","4,214,069,350.00","182,473,888,620.00",,,,,,
20-พ.ค.-2022,85.75,+4.25,+5.21%,82.75,82.25,87.00,"52,880,000","4,510,611,275.00","178,259,819,270.00",,,,,,
13-พ.ค.-2022,81.50,-3.75,-4.40%,83.75,80.25,84.75,"70,846,800","5,843,617,075.00","173,749,207,995.00",,,,,,
06-พ.ค.-2022,85.25,-3.25,-3.67%,88.25,83.50,89.25,"44,714,000","3,855,167,375.00","179,592,825,070.00",,,,,,
29-เม.ย.-2022,88.50,-3.00,-3.28%,89.75,86.75,90.75,"57,302,300","5,076,542,550.00","183,447,992,445.00",,,,,,
22-เม.ย.-2022,91.50,+1.50,+1.67%,89.00,86.25,91.50,"149,420,200","13,419,179,325.00","188,524,534,995.00",,,,,,
15-เม.ย.-2022,90.00,+2.50,+2.86%,88.00,86.25,91.50,"80,604,200","7,145,478,850.00","175,105,355,670.00",,,,,,
08-เม.ย.-2022,87.50,-10.25,-10.49%,98.00,86.00,101.00,"238,729,500","21,797,234,675.00","167,959,876,820.00",,,,,,
01-เม.ย.-2022,97.75,+4.25,+4.55%,94.00,93.50,99.00,"78,016,400","7,588,484,375.00","189,757,111,495.00",,,,,,
25-มี.ค.-2022,93.50,+4.75,+5.35%,89.50,88.75,95.00,"91,030,900","8,446,712,575.00","182,168,627,120.00",,,,,,
18-มี.ค.-2022,88.75,+3.50,+4.11%,85.25,84.00,91.00,"61,919,700","5,431,876,800.00","173,721,914,545.00",,,,,,
11-มี.ค.-2022,85.25,-4.75,-5.28%,88.25,81.50,89.25,"105,004,200","8,885,249,600.00","168,290,037,745.00",,,,,,
04-มี.ค.-2022,90.00,-3.25,-3.49%,93.00,87.50,96.25,"82,343,700","7,598,933,625.00","177,175,287,345.00",,,,,,
25-ก.พ.-2022,93.25,-1.50,-1.58%,94.25,91.00,95.25,"59,974,600","5,591,161,250.00","184,774,220,970.00",,,,,,
18-ก.พ.-2022,94.75,+1.75,+1.88%,92.00,91.25,97.75,"76,052,400","7,254,287,375.00","190,365,382,220.00",,,,,,
11-ก.พ.-2022,93.00,+0.25,+0.27%,93.00,91.50,95.75,"60,325,600","5,639,250,650.00","183,111,094,845.00",,,,,,
04-ก.พ.-2022,92.75,+2.50,+2.77%,90.25,89.00,93.50,"74,357,300","6,774,785,025.00","177,471,844,195.00",,,,,,
28-ม.ค.-2022,90.25,-4.75,-5.00%,95.50,89.50,100.00,"151,787,600","14,495,565,425.00","170,697,059,170.00",,,,,,
21-ม.ค.-2022,95.00,+1.50,+1.60%,94.00,93.50,96.50,"63,551,400","6,033,970,400.00","185,192,624,595.00",,,,,,
14-ม.ค.-2022,93.50,-3.50,-3.61%,97.00,93.25,98.50,"78,214,800","7,515,840,400.00","179,158,654,195.00",,,,,,
07-ม.ค.-2022,97.00,+1.00,+1.04%,96.75,95.25,100.50,"166,822,600","16,332,251,350.00","186,674,494,595.00",,,,,,
31-ธ.ค.-2021,96.00,+2.50,+2.67%,94.00,92.25,99.75,"121,928,400","11,631,150,475.00","170,342,243,245.00",,,,,,
