Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
04-มี.ค.-2016,7.30,0.00,0.00%,7.25,7.00,7.75,"64,899,600","484,889,585.00","15,476,488,490.00",,,,,,
26-ก.พ.-2016,7.30,+0.15,+2.10%,7.25,7.20,7.65,"62,598,200","465,421,910.00","14,991,598,905.00",,,,,,
19-ก.พ.-2016,7.15,-0.60,-7.74%,7.90,6.95,8.00,"78,621,900","578,818,585.00","14,526,176,995.00",,,,,,
12-ก.พ.-2016,7.75,-0.15,-1.90%,7.95,7.40,8.20,"121,278,000","941,403,345.00","15,104,995,580.00",,,,,,
05-ก.พ.-2016,7.90,-0.60,-7.06%,8.60,7.80,8.85,"102,383,800","865,078,110.00","16,046,398,925.00",,,,,,
29-ม.ค.-2016,8.50,-0.15,-1.73%,8.70,8.00,9.00,"201,799,600","1,725,213,815.00","16,911,477,035.00",,,,,,
22-ม.ค.-2016,8.65,+0.90,+11.61%,7.70,7.70,8.80,"249,495,400","2,063,846,190.00","18,636,690,850.00",,,,,,
15-ม.ค.-2016,7.75,+1.50,+24.00%,6.30,6.30,7.75,"187,958,000","1,331,679,015.00","16,572,844,660.00",,,,,,
08-ม.ค.-2016,6.25,-0.60,-8.76%,6.85,6.15,6.85,"51,664,300","332,739,100.00","15,241,165,645.00",,,,,,
01-ม.ค.-2016,6.85,+0.10,+1.48%,6.85,6.65,7.05,"46,428,400","319,315,045.00","15,573,904,745.00",,,,,,
25-ธ.ค.-2015,6.75,-0.10,-1.46%,6.85,6.25,7.15,"99,484,600","665,130,485.00","15,254,589,700.00",,,,,,
18-ธ.ค.-2015,6.85,+0.05,+0.74%,6.70,6.45,7.40,"198,535,100","1,388,626,615.00","15,919,720,185.00",,,,,,
11-ธ.ค.-2015,6.80,-0.50,-6.85%,7.30,6.15,7.30,"84,961,300","563,589,110.00","14,531,093,570.00",,,,,,
04-ธ.ค.-2015,7.30,-0.70,-8.75%,8.00,7.15,8.00,"114,047,500","872,014,080.00","15,094,682,680.00",,,,,,
27-พ.ย.-2015,8.00,-0.65,-7.51%,8.75,7.70,8.90,"184,024,200","1,545,304,115.00","15,966,696,760.00",,,,,,
20-พ.ย.-2015,8.65,-0.65,-6.99%,9.15,8.55,9.55,"215,929,900","1,972,563,840.00","17,512,000,875.00",,,,,,
13-พ.ย.-2015,9.30,-1.30,-12.26%,10.70,9.10,10.90,"289,088,400","2,884,258,630.00","19,484,564,715.00",,,,,,
06-พ.ย.-2015,10.60,+0.90,+9.28%,9.70,9.70,11.40,"616,147,100","6,615,188,715.00","22,368,823,345.00",,,,,,
30-ต.ค.-2015,9.70,+0.20,+2.11%,9.80,9.50,11.20,"864,048,400","8,811,167,890.00","15,753,634,630.00",,,,,,
23-ต.ค.-2015,9.50,+1.20,+14.46%,8.25,8.00,9.55,"807,398,700","6,942,466,740.00","6,942,466,740.00",,,,,,
16-ต.ค.-2015,8.30,,,7.70,6.70,8.30,"1,396,692,500","10,709,441,695.00",0.00,,,,,,
