Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
1.80 - 2.00,"321,094,400",2.88%,4,0.76%,,,,,,,,,,,
1.60 - 1.80,"1,805,232,692",16.17%,25,4.78%,,,,,,,,,,,
1.40 - 1.60,"1,963,265,458",17.58%,65,12.43%,,,,,,,,,,,
1.20 - 1.40,"1,717,680,177",15.38%,68,13.00%,,,,,,,,,,,
1.00 - 1.20,"2,786,625,100",24.95%,102,19.50%,,,,,,,,,,,
0.80 - 1.00,"1,426,763,200",12.78%,88,16.83%,,,,,,,,,,,
0.60 - 0.80,"825,320,100",7.39%,116,22.18%,,,,,,,,,,,
0.40 - 0.60,"320,923,600",2.87%,55,10.52%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMIm.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.07,05-พ.ค.-2023,Max,"402,456,100",23-ก.ค.-2021,Advancing,"7,154,920,401",Up,195,Up,+36.67%,05-มี.ค.-2021,Max,"575,044,782.00",20-ก.ย.-2024
Low,0.50,09-ต.ค.-2020,Min,"214,200",08-พ.ค.-2020,Declining,"3,334,787,572",Down,246,Down,-16.90%,14-ต.ค.-2016,Min,"137,767.00",08-พ.ค.-2020
Avg,1.03,,Avg,"21,351,634",,Total,"11,166,904,727",Unch,81,Period,-17.33%,10 Years,Avg,"31,262,606.00",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMIm.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
23-ธ.ค.-2022,1.19,-0.05,-4.03%,1.22,1.15,1.25,"3,131,800","4,468,031.00","4,535,076,229.00",,,,,,
16-ธ.ค.-2022,1.24,-0.07,-5.10%,1.32,1.17,1.32,"8,561,600","12,744,954.00","4,539,544,260.00",,,,,,
09-ธ.ค.-2022,1.31,-0.08,-5.99%,1.39,1.28,1.39,"6,896,600","11,131,662.00","4,552,289,214.00",,,,,,
02-ธ.ค.-2022,1.39,+0.04,+3.09%,1.35,1.34,1.44,"12,414,500","20,845,666.00","4,563,420,876.00",,,,,,
25-พ.ย.-2022,1.35,-0.08,-5.81%,1.43,1.31,1.43,"9,456,000","15,528,360.00","4,542,575,210.00",,,,,,
18-พ.ย.-2022,1.43,-0.05,-3.37%,1.49,1.43,1.53,"11,771,300","21,143,312.00","4,558,103,570.00",,,,,,
11-พ.ย.-2022,1.48,+0.07,+4.71%,1.44,1.37,1.61,"26,921,000","48,088,254.00","4,579,246,882.00",,,,,,
04-พ.ย.-2022,1.42,-0.06,-3.95%,1.48,1.40,1.50,"11,744,900","20,255,761.00","4,531,158,628.00",,,,,,
28-ต.ค.-2022,1.47,-0.08,-5.35%,1.54,1.47,1.54,"7,344,400","13,239,653.00","4,551,414,389.00",,,,,,
21-ต.ค.-2022,1.56,+0.02,+1.63%,1.54,1.53,1.57,"5,867,500","10,893,448.00","4,564,654,042.00",,,,,,
14-ต.ค.-2022,1.53,-0.03,-2.13%,1.55,1.51,1.57,"4,031,700","7,474,149.00","4,553,760,594.00",,,,,,
