Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,13.67,05-มี.ค.-2021,Max,"880,373,714",29-ก.ย.-2017,Advancing,"4,151,494,472",Up,156,Up,+15.08%,15-พ.ค.-2020,Max,"6,082,308,850.00",29-ก.ย.-2017
Low,4.23,27-มี.ค.-2020,Min,"429,380",03-ม.ค.-2020,Declining,"3,612,714,780",Down,173,Down,-11.56%,10-พ.ย.-2017,Min,"2,361,980.00",03-ม.ค.-2020
Avg,7.47,,Avg,"25,290,569",,Total,"9,256,348,194",Unch,36,Period,-5.53%,10 Years,Avg,"208,755,207.30",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
16-ก.ย.-2022,9.27,-0.36,-3.77%,9.64,9.27,9.64,"18,958,278","179,523,480.00","4,144,351,930.00",,,,,,
09-ก.ย.-2022,9.64,+0.77,+8.72%,9.00,8.95,9.82,"60,496,364","570,652,600.00","4,323,875,410.00",,,,,,
02-ก.ย.-2022,8.86,-0.09,-1.02%,8.86,8.64,8.91,"23,077,778","202,637,655.00","3,753,222,810.00",,,,,,
26-ส.ค.-2022,8.95,+0.09,+1.03%,8.91,8.86,9.18,"24,253,788","219,123,400.00","3,955,860,465.00",,,,,,
19-ส.ค.-2022,8.86,0.00,0.00%,8.91,8.82,9.18,"27,052,407","242,329,365.00","3,736,737,065.00",,,,,,
12-ส.ค.-2022,8.86,+0.32,+3.72%,8.55,8.45,8.91,"10,480,799","91,368,485.00","3,494,407,700.00",,,,,,
05-ส.ค.-2022,8.55,-0.05,-0.53%,8.59,8.41,8.73,"7,220,289","61,910,435.00","3,403,039,215.00",,,,,,
29-ก.ค.-2022,8.59,+0.36,+4.42%,8.23,8.18,8.59,"3,600,740","30,320,760.00","3,464,949,650.00",,,,,,
22-ก.ค.-2022,8.23,+0.45,+5.85%,7.77,7.73,8.23,"4,782,360","38,238,965.00","3,434,628,890.00",,,,,,
15-ก.ค.-2022,7.77,-0.41,-5.00%,8.05,7.68,8.18,"4,278,890","33,945,150.00","3,396,389,925.00",,,,,,
08-ก.ค.-2022,8.18,-0.27,-3.23%,8.45,7.77,8.50,"10,786,819","86,624,275.00","3,430,335,075.00",,,,,,
01-ก.ค.-2022,8.45,0.00,0.00%,8.50,8.41,8.64,"4,928,110","41,905,040.00","3,516,959,350.00",,,,,,
24-มิ.ย.-2022,8.45,-0.27,-3.13%,8.68,8.36,8.82,"5,023,369","42,925,450.00","3,558,864,390.00",,,,,,
17-มิ.ย.-2022,8.73,-0.32,-3.52%,8.82,8.45,8.95,"12,583,559","110,031,880.00","3,601,789,840.00",,,,,,
10-มิ.ย.-2022,9.05,+0.23,+2.58%,8.86,8.77,9.27,"31,528,857","286,095,395.00","3,711,821,720.00",,,,,,
03-มิ.ย.-2022,8.82,-0.18,-2.02%,9.00,8.77,9.18,"10,624,459","95,255,555.00","3,425,726,325.00",,,,,,
27-พ.ค.-2022,9.00,0.00,0.00%,9.05,8.82,9.09,"11,721,599","105,132,790.00","3,520,981,880.00",,,,,,
20-พ.ค.-2022,9.00,+0.45,+5.32%,8.95,8.82,9.27,"12,398,539","112,738,875.00","3,415,849,090.00",,,,,,
13-พ.ค.-2022,8.55,-0.82,-8.74%,9.27,8.27,9.36,"16,389,668","145,122,580.00","3,303,110,215.00",,,,,,
06-พ.ค.-2022,9.36,+0.19,+2.07%,9.26,8.93,9.55,"11,473,097","106,104,110.00","3,448,232,795.00",,,,,,
29-เม.ย.-2022,9.17,+0.08,+0.91%,9.01,8.76,9.42,"20,575,320","187,601,690.00","3,342,128,685.00",,,,,,
22-เม.ย.-2022,9.09,-0.08,-0.90%,9.17,9.01,9.42,"18,407,484","169,079,760.00","3,154,526,995.00",,,,,,
15-เม.ย.-2022,9.17,-0.08,-0.89%,9.26,9.09,9.26,"5,940,131","54,495,820.00","3,323,606,755.00",,,,,,
08-เม.ย.-2022,9.26,-0.33,-3.45%,9.67,9.17,9.67,"13,113,735","123,141,990.00","3,378,102,575.00",,,,,,
01-เม.ย.-2022,9.59,-0.08,-0.85%,9.75,9.42,9.83,"16,263,123","155,863,850.00","3,501,244,565.00",,,,,,
25-มี.ค.-2022,9.67,-0.17,-1.68%,10.00,9.59,10.17,"43,753,712","432,357,960.00","3,657,108,415.00",,,,,,
18-มี.ค.-2022,9.83,+0.33,+3.48%,9.59,9.26,10.17,"39,634,631","388,289,170.00","4,089,466,375.00",,,,,,
11-มี.ค.-2022,9.50,-0.58,-5.74%,9.92,9.09,9.92,"19,275,296","183,332,330.00","3,701,177,205.00",,,,,,
04-มี.ค.-2022,10.08,+0.17,+1.67%,9.92,9.75,10.33,"22,524,387","228,124,570.00","3,884,509,535.00",,,,,,
25-ก.พ.-2022,9.92,0.00,0.00%,9.92,9.50,10.00,"11,522,344","112,509,240.00","3,656,384,965.00",,,,,,
18-ก.พ.-2022,9.92,0.00,0.00%,9.83,9.59,10.00,"14,778,695","144,872,770.00","3,768,894,205.00",,,,,,
11-ก.พ.-2022,9.92,-0.58,-5.51%,10.50,9.75,10.58,"31,947,503","325,195,400.00","3,913,766,975.00",,,,,,
04-ก.พ.-2022,10.50,+0.33,+3.25%,10.17,10.08,10.58,"26,166,729","271,925,790.00","4,238,962,375.00",,,,,,
28-ม.ค.-2022,10.17,-0.74,-6.82%,10.83,10.08,10.91,"39,241,139","410,374,400.00","3,967,036,585.00",,,,,,
21-ม.ค.-2022,10.91,+0.58,+5.60%,10.58,10.33,10.99,"61,310,809","655,730,170.00","4,377,410,985.00",,,,,,
14-ม.ค.-2022,10.33,+0.08,+0.81%,10.25,9.75,10.66,"44,794,433","457,698,600.00","3,721,680,815.00",,,,,,
07-ม.ค.-2022,10.25,-0.25,-2.36%,10.50,10.17,10.50,"10,229,943","106,036,680.00","3,263,982,215.00",,,,,,
31-ธ.ค.-2021,10.50,+0.08,+0.79%,10.50,10.33,10.58,"11,159,586","117,110,720.00","3,370,018,895.00",,,,,,
24-ธ.ค.-2021,10.41,+0.08,+0.80%,10.25,10.17,10.58,"19,677,621","203,728,650.00","3,252,908,175.00",,,,,,
17-ธ.ค.-2021,10.33,-0.25,-2.34%,10.50,10.25,10.58,"17,148,843","177,354,620.00","3,049,179,525.00",,,,,,
10-ธ.ค.-2021,10.58,+0.08,+0.79%,10.41,10.33,10.66,"9,938,333","104,435,920.00","3,226,534,145.00",,,,,,
03-ธ.ค.-2021,10.50,+0.17,+1.60%,10.25,10.17,10.66,"24,591,188","255,394,220.00","3,122,098,225.00",,,,,,
26-พ.ย.-2021,10.33,-1.24,-10.71%,11.57,10.33,12.07,"93,289,045","1,042,632,330.00","2,866,704,005.00",,,,,,
19-พ.ย.-2021,11.57,+0.66,+6.06%,11.16,11.16,11.65,"43,728,060","498,226,310.00","3,909,336,335.00",,,,,,
