,2004,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
, Dec-2004, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022
Period End Date,31-Dec-2004 ,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets less Inventory,"219,045 ","390,452 ","368,739 ","395,316 ","435,029 ","418,659 ","422,665 ","403,190 ","370,793 ","375,417 ","376,771 ","376,735 ","357,901 ","300,913 ","261,404 ","224,899 ","215,166 ","220,485 ","205,829 ","193,042 ","217,259 ","190,911 ","187,342 ","166,159 ","184,802 ","182,256 ","187,535 ","182,604 ","188,276 ","207,059 ","234,667 ","232,395 ","243,908 ","248,653 ","247,285 ","246,109 ","252,386 ","276,991 ","295,952 ","300,254 ","325,797 ","349,007 ","374,074 ","382,369 ","361,133 ","379,451 ","370,813 ","342,299 ","297,226 ","249,938 ","256,473 ","248,407 ","230,127 ","221,498 ","197,109 ","185,588 ","5,670,317 ","106,253 ","503,764 ","5,226,049 ","5,035,651 ","6,448,088 ","6,210,516 ","6,750,189 ","7,694,997 ","8,371,460 ","10,254,741 ","16,197,704 ","8,208,845 ","16,750,068 ","19,150,337 ","20,518,239 ","14,087,609 "
Net Debt Incl. Pref.Stock & Min.Interest,"125,978 ","(23,552)","56,898 ","103,009 ","139,085 ","142,866 ","136,856 ","147,854 ","143,926 ","156,198 ","167,002 ","174,731 ","169,716 ","171,091 ","161,189 ","149,753 ","132,938 ","137,290 ","128,530 ","134,639 ","131,526 ","123,034 ","120,962 ","126,482 ","132,277 ","162,767 ","168,540 ","177,325 ","190,954 ","186,655 ","238,815 ","247,621 ","249,829 ","277,793 ","326,472 ","341,455 ","321,300 ","360,122 ","363,493 ","375,547 ","388,946 ","404,803 ","424,717 ","443,717 ","463,433 ","485,577 ","500,671 ","495,533 ","443,226 ","450,082 ","458,917 ","450,532 ","480,862 ","464,197 ","463,068 ","443,088 ","5,154,664 ","450,965 ","453,260 ","1,640,946 ","3,620,141 ","12,279,787 ","13,005,139 ","12,600,435 ","11,202,585 ","11,113,755 ","10,831,387 ","12,755,872 ","13,303,619 ","14,348,196 ","15,787,881 ","15,665,563 ","13,819,724 "
"Tangible Book Value, Common Equity","284,693 ","486,088 ","465,090 ","466,402 ","472,825 ","469,180 ","469,638 ","466,867 ","445,393 ","445,511 ","449,169 ","447,801 ","428,666 ","400,699 ","380,902 ","344,745 ","321,238 ","323,740 ","326,168 ","328,855 ","338,956 ","347,291 ","350,769 ","351,293 ","351,506 ","339,886 ","336,942 ","339,248 ","370,084 ","357,356 ","371,819 ","383,200 ","417,157 ","431,930 ","421,919 ","424,290 ","412,645 ","404,271 ","433,743 ","433,700 ","431,070 ","435,640 ","462,135 ","449,383 ","430,812 ","404,270 ","387,156 ","352,696 ","331,744 ","295,638 ","267,396 ","290,841 ","266,020 ","253,068 ","208,418 ","161,318 ","71,556 ","(129,946)","(197,795)","1,923,216 ","1,360,589 ","(3,460,546)","(3,233,784)","(2,729,745)","(1,812,169)","(1,294,218)","(724,694)","379,476 ","(8,320,890)","1,633,892 ","2,195,090 ","3,205,344 ","(8,588,527)"
"Debt & Lease, Pension Items (THB Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Capital Leases, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"214,610 ","200,444 ","187,449 ","194,000 ",--,--,--,"155,000 "
Interest Costs,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(46,128)","(44,662)","(43,691)","(16,000)",--,--,--,"(37,000)"
Capital Lease Payments Due in Year 1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"85,051 ","78,331 ","86,803 ","81,000 ",--,--,--,"52,000 "
Capital Lease Payments Due in Year 2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"60,871 ","56,849 ","42,950 ","25,250 ",--,--,--,"18,500 "
Capital Lease Payments Due in Year 3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"32,327 ","30,285 ","28,174 ","25,250 ",--,--,--,"18,500 "
Capital Lease Payments Due in Year 4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"24,525 ","25,230 ","25,623 ","25,250 ",--,--,--,"18,500 "
Capital Lease Payments Due in Year 5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"19,198 ","16,298 ","13,587 ","25,250 ",--,--,--,"18,500 "
Capital Lease Payments Due in 2-3 Years,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"93,197 ","87,134 ","71,124 ","50,500 ",--,--,--,"37,000 "
Capital Lease Payments Due in 4-5 Years,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"43,724 ","41,527 ","39,209 ","50,500 ",--,--,--,"37,000 "
Cap. Lease Pymts. Due in Year 6 & Beyond,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"38,766 ","38,113 ","34,004 ","28,000 ",--,--,--,"66,000 "
"Total Operating Leases, Supplemental",--,--,--,--,--,--,--,--,"15,578 ",--,"15,740 ","20,100 ","17,431 ","15,868 ","13,560 ","17,057 ","17,613 ","15,641 ","13,554 ","6,450 ",--,"17,511 ","19,553 ","21,341 ",19 ,"10,459 ",--,--,--,12 ,11 ,11 ,15 ,8 ,"8,270 ","11,605 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 1,--,--,--,--,--,--,--,--,"1,591 ",--,150 ,"1,490 ","2,159 ","1,792 ","1,305 ","2,312 ","7,689 ","5,717 ","3,630 ",850 ,--,"5,659 ","4,076 ","2,280 ",9 ,0 ,--,--,--,0 ,0 ,0 ,3 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 2,--,--,--,--,--,--,--,--,"2,056 ",--,"2,498 ","3,265 ","2,452 ","2,174 ","1,739 ","2,382 ","4,773 ","4,773 ","4,773 ","1,500 ",--,"5,704 ","7,257 ","8,601 ",6 ,"6,336 ",--,--,--,7 ,6 ,6 ,3 ,5 ,"4,874 ","6,318 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 3,--,--,--,--,--,--,--,--,"2,056 ",--,"2,498 ","3,265 ","2,452 ","2,174 ","1,739 ","2,382 ","2,391 ","2,391 ","2,391 ","2,000 ",--,"6,148 ",--,--,2 ,"1,802 ",--,--,--,3 ,3 ,3 ,5 ,2 ,"1,819 ","3,563 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 4,--,--,--,--,--,--,--,--,"2,056 ",--,"2,498 ","3,265 ","2,452 ","2,174 ","1,739 ","2,382 ",--,--,--,--,--,--,--,--,2 ,--,--,--,--,--,--,--,1 ,--,"1,577 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 5,--,--,--,--,--,--,--,--,"2,056 ",--,"2,498 ","3,265 ","2,452 ","2,174 ","1,739 ","2,382 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 2-3 Years,--,--,--,--,--,--,--,--,"4,112 ",--,"4,995 ","6,530 ","4,904 ","4,347 ","3,477 ","4,763 ","7,164 ","7,164 ","7,164 ","3,500 ",--,"11,852 ","7,257 ","8,601 ",8 ,"8,138 ",--,--,--,10 ,9 ,9 ,8 ,6 ,"6,693 ","9,881 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 4-5 Years,--,--,--,--,--,--,--,--,"4,112 ",--,"4,995 ","6,530 ","4,904 ","4,347 ","3,477 ","4,763 ",--,--,--,--,--,--,--,--,2 ,--,--,--,--,--,--,--,1 ,--,"1,577 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oper. Lse. Pymts. Due in Year 6 & Beyond,--,--,--,--,--,--,--,--,"5,763 ",--,"5,600 ","5,550 ","5,464 ","5,382 ","5,301 ","5,219 ","2,760 ","2,760 ","2,760 ","2,100 ",--,0 ,"8,220 ","10,460 ",0 ,"2,321 ",--,--,--,2 ,2 ,2 ,2 ,2 ,0 ,"1,724 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Assets Recognized on Balance Sheet,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(7,374)","(7,791)","(8,209)",--,"(9,373)","(9,944)","(10,516)","(10,030)","(10,648)","(11,042)","(11,577)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Accrued Liabilities - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(7,374)","(7,791)","(8,209)",--,"(9,373)","(9,944)","(10,516)","(10,030)","(10,648)","(11,042)","(11,577)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
