Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
7.00 - 8.00,"4,490,200",0.40%,3,0.57%,,,,,,,,,,,
6.00 - 7.00,"21,907,000",1.97%,30,5.74%,,,,,,,,,,,
5.00 - 6.00,"29,132,700",2.62%,10,1.91%,,,,,,,,,,,
4.00 - 5.00,"70,071,900",6.31%,27,5.16%,,,,,,,,,,,
3.00 - 4.00,"70,001,300",6.30%,93,17.78%,,,,,,,,,,,
2.00 - 3.00,"859,340,000",77.36%,221,42.26%,,,,,,,,,,,
1.00 - 2.00,"54,061,900",4.87%,137,26.20%,,,,,,,,,,,
0.00 - 1.00,"1,769,200",0.16%,2,0.38%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LNE.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,7.30,21-พ.ย.-2014,Max,"266,619,100",17-มิ.ย.-2022,Advancing,"724,478,900",Up,202,Up,+28.71%,10-มิ.ย.-2022,Max,"744,402,356.00",17-มิ.ย.-2022
Low,0.95,05-ก.ค.-2024,Min,"2,400",15-พ.ย.-2019,Declining,"328,486,100",Down,244,Down,-16.75%,12-พ.ค.-2017,Min,"5,210.00",15-พ.ย.-2019
Avg,2.76,,Avg,"2,123,851",,Total,"1,110,774,200",Unch,76,Period,-81.99%,10 Years,Avg,"6,133,574.28",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LNE.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
02-ธ.ค.-2022,2.02,0.00,0.00%,2.00,1.99,2.04,"1,236,500","2,478,095.00","1,211,466,874.00",,,,,,
25-พ.ย.-2022,2.02,+0.02,+1.00%,2.02,1.98,2.06,"1,876,000","3,754,326.00","1,208,988,779.00",,,,,,
18-พ.ย.-2022,2.00,-0.14,-6.54%,2.12,1.99,2.14,"2,384,900","4,901,933.00","1,205,234,453.00",,,,,,
11-พ.ย.-2022,2.14,-0.02,-0.93%,2.16,2.12,2.34,"4,564,600","10,030,718.00","1,210,136,386.00",,,,,,
04-พ.ย.-2022,2.16,0.00,0.00%,2.18,2.14,2.32,"2,885,300","6,408,948.00","1,220,167,104.00",,,,,,
28-ต.ค.-2022,2.16,-0.02,-0.92%,2.18,2.10,2.30,"1,673,900","3,678,250.00","1,226,576,052.00",,,,,,
21-ต.ค.-2022,2.18,+0.08,+3.81%,2.12,2.04,2.38,"9,252,800","20,879,862.00","1,230,254,302.00",,,,,,
14-ต.ค.-2022,2.10,-0.04,-1.87%,2.14,2.08,2.26,"1,594,700","3,419,770.00","1,209,374,440.00",,,,,,
07-ต.ค.-2022,2.14,+0.04,+1.90%,2.14,2.08,2.20,"1,193,600","2,542,834.00","1,212,794,210.00",,,,,,
30-ก.ย.-2022,2.10,-0.18,-7.89%,2.24,2.06,2.28,"3,205,400","6,965,990.00","1,210,251,376.00",,,,,,
23-ก.ย.-2022,2.28,0.00,0.00%,2.28,2.20,2.32,"2,905,900","6,530,614.00","1,217,217,366.00",,,,,,
