Sermsang Power Corporation PCL | Balance Sheet                                25-Sep-2024 16:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,2017,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Sep-2016, Dec-2016, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,11 ,N/A ,N/A ,4 ,5 ,3 ,5 ,3 ,4 ,5 ,8 ,9 ,11 ,17 ,12 ,22 ,24 ,12 ,18 ,33 ,32 ,48 ,48 ,N/A ,38 ,26 ,58 ,62 ,29 ,32 
Period End Date,30-Sep-2016 ,31-Dec-2016 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Port. of LT Debt/Capital Leases,"550,354 ","364,218 ","348,645 ","492,678 ","510,384 ","538,144 ","632,843 ","492,868 ","508,587 ","513,562 ","568,368 ","627,846 ","686,314 ","788,869 ","849,021 ","902,896 ","1,240,523 ","1,212,344 ","1,893,960 ","1,975,346 ","2,331,192 ","2,282,723 ","1,161,329 ","1,332,700 ","896,496 ","1,363,400 ","1,631,611 ","1,563,611 ","1,582,309 ","3,119,782 ","3,236,097 "
"Other Current liabilities, Total","14,926 ","13,993 ","17,862 ","17,142 ","15,447 ","17,435 ","32,661 ","244,656 ","134,494 ","148,025 ","167,444 ","25,251 ","99,063 ","28,739 ","27,194 ","26,398 ","27,710 ","28,168 ","31,398 ","130,587 ","31,394 ","396,727 ","33,131 ","34,396 ","24,148 ","22,018 ","52,758 ","27,212 ","29,756 ","46,527 ","32,390 "
Customer Advances,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,557 ,500 ,172 ,0 ,--,--,--,--,--,--,--,--,--,--,--
Income Taxes Payable,"2,139 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Payables,--,--,--,--,--,--,--,"212,598 ","117,504 ","9,770 ","9,401 ","9,401 ","80,695 ","9,848 ","9,493 ","9,727 ","9,259 ","9,678 ","9,926 ","110,621 ","10,436 ","376,053 ","10,805 ","11,322 ","3,218 ","3,205 ","24,001 ","1,600 ","1,600 ","1,600 ","1,600 "
Other Current Liabilities,"12,787 ","13,993 ","17,862 ","17,142 ","15,447 ","17,435 ","32,661 ","32,058 ","16,990 ","138,255 ","158,043 ","15,850 ","18,369 ","18,891 ","17,701 ","16,671 ","17,894 ","17,990 ","21,300 ","19,966 ","20,958 ","20,674 ","22,326 ","23,074 ","20,930 ","18,813 ","28,757 ","25,612 ","28,156 ","44,927 ","30,790 "
Total Current Liabilities,"587,478 ","411,286 ","394,952 ","585,255 ","782,526 ","1,147,961 ","943,798 ","1,033,803 ","1,146,901 ","1,477,495 ","1,264,638 ","1,517,741 ","1,367,868 ","1,368,282 ","1,710,723 ","2,162,486 ","1,702,258 ","1,573,001 ","2,268,493 ","5,722,255 ","6,081,567 ","6,231,368 ","4,478,160 ","1,668,495 ","1,173,475 ","1,707,296 ","1,912,166 ","1,857,213 ","1,886,762 ","3,617,813 ","3,788,852 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"2,652,243 ","3,250,855 ","3,748,228 ","3,797,588 ","4,061,676 ","4,174,337 ","5,266,988 ","6,416,744 ","6,868,209 ","6,813,603 ","7,542,688 ","7,332,509 ","7,667,290 ","9,185,853 ","8,917,871 ","9,389,661 ","10,183,268 ","9,871,823 ","8,935,425 ","10,685,574 ","11,414,820 ","12,132,199 ","10,524,150 ","12,981,209 ","11,769,572 ","11,007,237 ","11,385,688 ","11,204,969 ","10,602,504 ","13,527,406 ","12,980,920 "
Long Term Debt,"2,651,689 ","3,250,790 ","3,748,228 ","3,797,588 ","4,061,676 ","4,174,337 ","5,266,988 ","6,416,744 ","6,868,209 ","6,813,603 ","7,541,561 ","7,331,454 ","7,666,372 ","8,492,997 ","8,265,955 ","8,716,472 ","9,600,457 ","9,311,303 ","8,368,877 ","10,101,198 ","10,862,109 ","11,619,554 ","10,046,090 ","12,500,114 ","11,154,591 ","10,405,919 ","10,802,207 ","10,679,849 ","10,024,938 ","12,874,615 ","12,267,918 "
