Cash and Short Term Investments,"593,169 ","592,651 ","965,321 ","1,297,521 ","1,855,821 ","1,603,162 ","2,007,954 ","1,798,922 ","2,065,181 ","2,215,131 ","3,697,070 ","3,381,799 ","3,322,824 ","3,409,415 ","6,877,118 ","7,789,024 ","6,475,300 ","5,859,278 ","4,737,601 ","4,853,725 ","4,464,417 ","4,123,659 ","4,156,324 ","3,862,165 ","4,234,370 ","4,020,487 ","7,910,236 ","5,920,978 ","4,909,039 ","5,159,227 ","4,730,920 ","5,616,047 ","8,900,588 ","6,436,443 ","6,367,474 ","6,538,188 ","7,083,789 ","6,975,860 ","5,854,789 ","7,359,100 ","7,271,246 ","5,761,257 ","6,064,240 ","6,390,648 ","6,958,780 ","6,920,608 ","8,989,364 "
"Other Long Term Assets, Total","13,470,528 ","13,332,697 ","14,097,412 ","14,052,967 ","13,942,026 ","13,810,031 ","13,494,563 ","13,373,960 ","13,247,925 ","13,113,459 ","12,993,062 ","12,879,581 ","12,755,192 ","12,691,184 ","12,583,411 ","12,011,808 ","11,910,734 ","11,771,118 ","11,618,563 ","11,616,188 ","11,445,842 ","11,361,497 ","11,264,177 ","11,131,866 ","11,007,460 ","9,899,094 ","9,765,656 ","9,632,185 ","9,898,724 ","9,766,602 ","9,633,258 ","9,498,886 ","9,385,380 ","9,247,919 ","9,102,914 ","8,969,122 ","8,832,929 ","8,703,373 ","8,568,552 ","8,440,298 ","8,277,349 ","8,135,601 ","8,011,643 ","7,886,086 ","7,775,013 ","7,651,405 ","7,525,645 "
Deferred Charges,"12,221,557 ","12,097,833 ","12,633,772 ","12,503,452 ","12,373,131 ","12,242,810 ","12,112,489 ","11,982,168 ","11,851,847 ","11,721,526 ","11,591,205 ","11,460,884 ","11,330,563 ","11,200,242 ","11,069,921 ","11,113,825 ","10,909,548 ","10,745,432 ","10,572,150 ","10,418,317 ","10,287,996 ","10,157,675 ","10,027,354 ","9,897,033 ","9,766,712 ","9,636,391 ","9,506,070 ","9,375,749 ","9,245,428 ","9,115,107 ","8,984,786 ","8,854,465 ","8,724,144 ","8,593,823 ","8,463,502 ","8,333,181 ","8,202,860 ","8,072,539 ","7,942,218 ","7,816,879 ","7,694,033 ","7,571,185 ","7,448,338 ","7,325,491 ","7,202,643 ","7,079,796 ","6,956,949 "
Defered Income Tax - Long Term Asset,--,--,--,--,--,--,--,--,--,--,--,--,--,"18,779 ","18,489 ","15,684 ","23,052 ","13,852 ","11,072 ","6,666 ","2,632 ",--,573 ,--,114 ,0 ,0 ,0 ,0 ,--,--,--,"20,053 ","15,381 ","3,905 ","3,697 ","2,416 ","5,913 ","6,035 ","6,383 ","6,730 ","6,940 ","8,398 ","7,358 ","5,383 ","6,149 ","6,298 "
Restricted Cash - Long Term,"1,245,832 ","1,230,762 ","1,254,082 ","1,339,972 ","1,360,617 ","1,355,899 ","1,176,115 ","1,188,438 ","1,194,900 ","1,191,888 ","1,203,489 ","1,222,649 ","1,220,677 ","1,264,407 ","1,276,442 ","694,589 ","792,510 ","827,584 ","837,683 ","974,776 ","980,593 ","987,919 ","1,023,590 ","1,025,449 ","1,034,530 ","58,923 ","59,066 ","59,195 ","459,336 ","459,432 ","459,505 ","459,537 ","459,574 ","459,606 ","459,643 ","459,659 ","459,680 ","459,696 ","459,717 ","459,733 ","416,564 ","400,000 ","400,000 ","400,000 ","417,030 ","418,149 ","418,344 "
Other Long Term Assets,"3,139 ","4,102 ","209,558 ","209,543 ","208,277 ","211,322 ","205,959 ","203,354 ","201,177 ","200,045 ","198,368 ","196,048 ","203,951 ","207,756 ","218,559 ","187,710 ","185,624 ","184,250 ","197,658 ","216,429 ","174,623 ","215,903 ","212,660 ","209,384 ","206,104 ","203,780 ","200,520 ","197,241 ","193,960 ","192,063 ","188,967 ","184,884 ","181,609 ","179,109 ","175,864 ","172,585 ","167,973 ","165,225 ","160,582 ","157,303 ","160,022 ","157,476 ","154,907 ","153,237 ","149,957 ","147,311 ","144,054 "
Total Assets,"45,153,877 ","44,680,413 ","50,076,002 ","50,611,606 ","50,481,512 ","49,813,787 ","49,745,448 ","49,074,260 ","49,327,351 ","49,011,985 ","55,042,591 ","54,105,903 ","54,566,543 ","53,914,743 ","59,335,882 ","60,843,620 ","59,305,266 ","59,670,316 ","60,116,455 ","60,981,957 ","60,461,601 ","60,009,637 ","62,617,364 ","62,776,276 ","62,503,102 ","61,444,983 ","64,381,097 ","63,899,326 ","64,190,930 ","63,384,728 ","62,899,396 ","64,079,791 ","67,038,451 ","66,486,732 ","68,429,052 ","68,902,704 ","68,977,347 ","68,831,616 ","67,981,679 ","69,627,389 ","70,055,893 ","68,862,734 ","67,334,849 ","68,139,059 ","68,765,278 ","67,940,298 ","69,927,149 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,"170,546 ","136,909 ","174,152 ","331,338 ","590,910 ","351,713 ","349,615 ","324,500 ","375,179 ","340,848 ","366,480 ","320,297 ","506,566 ","454,620 ","355,654 ","261,135 ","273,299 ","219,711 ","248,494 ","631,864 ","680,462 ","428,125 ","717,895 ","455,159 ","499,231 ","486,386 ","578,226 ","429,929 ","450,171 ","465,353 ","423,808 ","383,089 ","414,300 ","504,484 ","617,373 ","654,782 ","722,851 ","882,534 ","616,541 ","970,277 ","909,377 ","801,011 ","706,510 ","737,898 ","1,183,773 ","1,207,797 ","1,179,033 "
Payable/Accrued,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--
