"Property/Plant/Equipment, Total - Net","12,614,453 ","16,268,130 ","18,490,460 ","19,847,443 ","20,587,980 ","21,606,814 ","22,517,868 ","23,011,775 ","23,624,151 ","24,749,773 ","26,221,757 ","27,216,955 ","28,546,609 ","30,886,682 ","34,162,424 ","34,658,039 ","35,304,851 ","36,314,821 ","36,929,905 ","37,509,428 ","38,204,106 ","38,561,198 ","39,705,338 ","40,582,197 ","41,601,947 ","42,700,436 ","43,936,733 ","45,041,026 ","46,927,439 ","50,395,494 ","51,354,814 ","53,355,873 "
Long Term Investments,"5,514 ","5,480 ","5,463 ","5,446 ","5,428 ","5,410 ","9,349 ","9,331 ","9,313 ","5,337 ","5,319 ","5,300 ","5,281 ","186,532 ","186,413 ","188,294 ","188,172 ","188,049 ","187,927 ","187,803 ","185,677 ","670,890 ","490,493 ","490,813 ","491,002 ","736,067 ","737,005 ","737,908 ","739,262 ","740,180 ","741,834 ","743,538 "
Total Liabilities,"6,373,549 ","9,848,355 ","5,797,934 ","3,484,427 ","3,170,733 ","3,352,874 ","2,672,459 ","2,825,983 ","3,140,572 ","6,492,847 ","6,093,533 ","6,087,929 ","10,440,781 ","10,742,246 ","10,629,978 ","11,591,982 ","15,043,692 ","14,847,018 ","14,336,167 ","17,258,129 ","17,004,817 ","17,633,533 ","17,987,544 ","18,040,371 ","22,818,690 ","19,014,949 ","24,424,382 ","24,461,650 ","24,938,859 ","26,565,590 ","27,346,098 ","31,030,927 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common Stock, Total","5,900,000 ","5,900,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 "
Common Stock,"5,900,000 ","5,900,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 "
Additional Paid-In Capital,--,--,"14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 ","14,580,886 "
Retained Earnings (Accumulated Deficit),"1,729,391 ","2,420,991 ","1,526,484 ","1,392,848 ","1,146,202 ","1,233,148 ","1,987,000 ","1,776,555 ","1,941,836 ","2,067,399 ","3,050,259 ","3,461,181 ","3,719,668 ","4,129,600 ","5,096,728 ","4,588,396 ","4,786,731 ","5,947,424 ","7,008,433 ","6,936,506 ","6,871,479 ","7,870,754 ","8,725,335 ","8,489,045 ","8,019,559 ","8,583,538 ","8,873,935 ","9,556,938 ","9,387,673 ","10,220,699 ","9,912,114 ","10,769,848 "
"Other Equity, Total",--,--,--,--,--,--,--,--,--,92 ,1 ,(62),(120),(158),39 ,(88),(7),(176),(39),35 ,230 ,177 ,0 ,0 ,0 ,0 ,--,--,--,0 ,--,--
Translation Adjustment,--,--,--,--,--,--,--,--,--,--,1 ,(62),(120),(158),39 ,(88),(7),(176),(39),35 ,230 ,177 ,--,--,--,--,--,--,--,--,--,--
Other Equity,--,--,--,--,--,--,--,--,--,92 ,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,--,--,--,0 ,--,--
Total Equity,"7,629,391 ","8,320,991 ","24,507,370 ","24,373,734 ","24,127,088 ","24,214,034 ","24,967,886 ","24,757,441 ","24,922,722 ","25,048,377 ","26,031,146 ","26,442,005 ","26,700,434 ","27,110,328 ","28,077,653 ","27,569,194 ","27,767,610 ","28,928,134 ","29,989,280 ","29,917,427 ","29,852,595 ","30,851,817 ","31,706,221 ","31,469,931 ","31,000,445 ","31,564,424 ","31,854,821 ","32,537,824 ","32,368,559 ","33,201,585 ","32,893,000 ","33,750,734 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"14,002,940 ","18,169,346 ","30,305,304 ","27,858,161 ","27,297,821 ","27,566,908 ","27,640,345 ","27,583,424 ","28,063,294 ","31,541,224 ","32,124,679 ","32,529,934 ","37,141,215 ","37,852,574 ","38,707,631 ","39,161,176 ","42,811,302 ","43,775,152 ","44,325,447 ","47,175,556 ","46,857,412 ","48,485,350 ","49,693,765 ","49,510,302 ","53,819,135 ","50,579,373 ","56,279,203 ","56,999,474 ","57,307,418 ","59,767,175 ","60,239,098 ","64,781,661 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Shares Outstanding,"5,900,000 ","5,900,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 "
