Period End Date,Current Ratio,Pretax ROE,Times Interest Earned,Reinvestment Rate,Debt/Equity,Quick Ratio,Gross Margin,ROE,x Earnings Retention,Net Margin,x Tax Complement,x Leverage (Assets/Equity),Pretax Margin,Cash Cycle (Days),% LT Debt to Total Capital,(Total Debt - Cash) / EBITDA,x Pretax Margin,Effective Tax Rate,Pretax ROA,EBITDA Margin,Assets/Equity,Operating Margin,Asset Turnover,Company name,Fraud
Sep-2016 ,3.08,1.9,2.3,0.7,1.55,3.06,49.2,0.7,1.0,18.6,0.36,3.41,18.9,33.6,45.6,19.56,18.9,0.6,0.6,55.9,3.41,37.4,0.03,CKP,0
Dec-2016 ,5.15,-2.0,-0.2,-3.5,1.58,5.12,36.7,-1.0,0.0,-25.5,0.0,3.34,-25.4,44.3,46.3,81.11,-25.4,0.0,-0.6,18.0,3.34,-5.6,0.02,CKP,0
Mar-2017 ,3.84,-0.5,0.9,-0.2,1.58,3.82,37.9,-0.2,0.0,-6.2,0.0,3.35,-6.2,32.0,46.2,35.3,-6.2,0.0,-0.1,45.9,3.35,21.7,0.02,CKP,0
Jun-2017 ,2.31,-0.1,0.9,0.1,1.63,2.29,33.9,0.1,1.0,-1.7,0.0,3.46,-1.7,43.3,46.9,37.02,-1.7,0.0,0.0,45.7,3.46,21.2,0.02,CKP,0
Sep-2017 ,2.27,2.1,2.2,0.9,1.62,2.25,41.8,0.9,1.0,15.8,0.44,3.46,16.5,26.2,45.9,20.93,16.5,3.4,0.6,49.6,3.46,32.8,0.04,CKP,0
Dec-2017 ,2.36,0.3,1.2,-0.8,1.6,2.34,31.5,0.2,-5.17,2.9,0.47,3.41,3.1,29.1,45.5,27.26,3.1,4.3,0.1,46.3,3.41,19.0,0.03,CKP,0
Mar-2018 ,2.21,0.0,1.1,0.1,1.56,2.19,28.9,0.1,1.0,-0.5,0.0,3.35,-0.5,31.0,44.8,29.28,-0.5,0.0,0.0,44.8,3.35,16.9,0.03,CKP,0
Jun-2018 ,2.22,0.8,1.2,0.4,1.71,2.2,29.0,0.4,1.0,6.9,0.47,3.52,7.3,30.0,47.2,34.06,7.3,3.3,0.2,37.5,3.52,17.1,0.03,CKP,0
Sep-2018 ,2.41,5.4,4.6,2.2,1.64,2.39,50.7,2.2,1.0,31.9,0.41,3.44,33.2,22.2,46.2,13.77,33.2,3.1,1.6,64.0,3.44,42.9,0.05,CKP,0
Dec-2018 ,2.52,1.6,2.0,-0.5,1.62,2.5,34.9,0.7,-0.7,12.5,0.41,3.41,13.1,45.8,46.0,24.36,13.1,3.4,0.5,45.7,3.41,23.3,0.04,CKP,0
Mar-2019 ,2.34,1.6,1.8,0.8,1.55,2.32,35.1,0.8,1.0,12.2,0.46,3.33,12.7,31.8,44.8,20.88,12.7,3.0,0.5,49.8,3.33,27.8,0.04,CKP,0
Jun-2019 ,2.98,1.1,1.4,0.4,1.32,2.96,27.0,0.4,1.0,9.6,0.39,2.93,10.1,39.9,42.2,26.21,10.1,2.9,0.3,40.0,2.93,22.3,0.03,CKP,0
Sep-2019 ,3.2,0.1,0.6,0.1,1.2,3.17,18.1,0.1,1.0,1.2,1.92,2.78,1.0,48.6,41.6,33.2,1.0,-22.5,0.0,35.1,2.78,15.7,0.03,CKP,0
Dec-2019 ,1.95,2.4,0.9,1.3,1.17,1.93,22.6,2.2,0.6,28.6,0.91,2.73,29.3,43.8,39.5,37.13,29.3,0.2,0.9,30.5,2.73,19.4,0.03,CKP,0
Mar-2020 ,2.01,-1.8,0.1,-1.5,1.24,1.99,14.1,-1.5,0.0,-24.9,0.0,2.82,-26.0,53.7,40.8,41.14,-26.0,0.0,-0.6,33.7,2.82,10.3,0.03,CKP,0
Jun-2020 ,0.9,-0.7,0.2,-0.4,1.22,0.89,14.4,-0.4,0.0,-9.5,0.0,2.78,-10.1,51.8,34.1,40.46,-10.1,0.0,-0.3,33.0,2.78,9.5,0.03,CKP,0
Sep-2020 ,1.06,4.2,1.6,3.6,1.21,1.05,29.6,3.6,1.0,47.2,0.87,2.75,48.5,44.7,34.3,24.92,48.5,0.6,1.5,45.3,2.75,25.9,0.03,CKP,0
Dec-2020 ,1.68,-0.8,-0.8,-1.2,1.3,1.67,0.7,0.0,-35.49,-13.6,0.0,2.82,-14.8,72.7,38.4,0.0,-14.8,0.0,-0.3,-4.7,2.82,-6.1,0.02,CKP,0
Mar-2021 ,1.34,1.0,1.6,0.5,1.29,1.33,30.5,0.5,1.0,11.8,0.47,2.82,12.7,43.7,38.1,24.78,12.7,3.3,0.4,46.7,2.82,27.1,0.03,CKP,0
Jun-2021 ,2.1,3.8,1.9,3.0,1.34,2.08,32.9,3.0,1.0,40.4,0.79,2.87,42.5,51.2,42.6,24.06,42.5,1.8,1.3,47.2,2.87,29.0,0.03,CKP,0
Sep-2021 ,2.36,6.1,2.2,5.1,1.28,2.34,32.9,5.1,1.0,60.7,0.83,2.81,63.7,54.3,42.5,22.51,63.7,1.8,2.2,46.8,2.81,30.4,0.03,CKP,0
Dec-2021 ,2.86,0.8,1.0,-2.1,1.26,2.84,21.5,0.5,-4.31,8.2,0.63,2.78,9.0,61.3,43.5,31.14,9.0,5.8,0.3,35.3,2.78,20.5,0.03,CKP,0
Mar-2022 ,2.49,0.3,0.8,0.2,1.23,2.47,16.3,0.2,1.0,2.6,0.54,2.75,3.1,53.9,42.6,33.53,3.1,12.6,0.1,29.7,2.75,14.1,0.03,CKP,0
Jun-2022 ,2.43,3.9,1.2,3.5,1.24,2.42,20.8,3.5,1.0,38.0,0.88,2.75,39.9,56.8,42.5,29.01,39.9,1.8,1.4,33.1,2.75,18.6,0.04,CKP,0
Sep-2022 ,2.46,6.9,2.3,5.8,1.2,2.45,23.5,5.8,1.0,51.1,0.84,2.72,53.1,52.9,41.3,21.43,53.1,1.3,2.5,33.3,2.72,22.5,0.05,CKP,0
Dec-2022 ,2.19,0.4,0.6,-2.4,1.15,2.18,14.4,0.3,-8.63,3.9,0.72,2.64,4.0,74.0,39.6,32.71,4.0,-2.8,0.1,27.4,2.64,10.4,0.04,CKP,0
Mar-2023 ,2.48,-0.2,0.9,-0.4,1.12,2.46,15.6,-0.4,0.0,-3.1,0.0,2.59,-2.6,69.1,40.1,32.4,-2.6,0.0,-0.1,28.6,2.59,14.1,0.04,CKP,0
Jun-2023 ,1.71,0.1,0.9,0.0,1.16,1.69,14.6,0.0,1.0,0.5,0.08,2.64,1.0,70.6,38.3,32.43,1.0,51.0,0.0,30.9,2.64,16.3,0.03,CKP,0
Sep-2023 ,1.91,4.7,1.9,4.0,1.11,1.89,26.7,4.0,1.0,47.7,0.84,2.6,51.0,64.2,38.0,22.7,51.0,2.6,1.8,41.1,2.6,26.9,0.04,CKP,0
Dec-2023 ,1.68,3.2,2.6,-0.6,1.04,1.67,31.7,2.0,-0.27,28.2,0.64,2.52,30.2,51.9,35.2,18.54,30.2,3.7,1.2,41.2,2.52,28.1,0.04,CKP,0
Mar-2024 ,1.38,-1.3,1.2,-1.7,1.08,1.37,19.7,-1.7,0.0,-16.0,0.0,2.58,-16.1,64.5,33.9,26.16,-16.1,0.0,-0.5,34.9,2.58,20.0,0.03,CKP,0
Mar-2016 ,0.0,0.0,-12.9,0.0,0.0,0.0,26.2,0.0,0.0,-7.3,0.0,0.0,-7.4,0.0,0.0,0.0,-7.4,0.0,0.0,-5.4,0.0,-5.4,0.0,CPT,0
